stations,lon,lat
KINGSTON-THROOP,-73.9411294,40.6798265
UTICA AV,-73.9297471,40.6463192
RALPH AV,-73.9215528,40.6787336
ROCKAWAY AV,-73.91077179999999,40.6784919
BROADWAY JCT,-73.9039,40.6789137
LIBERTY AV,-104.794603,39.001402
VAN SICLEN AVE,-73.8891273,40.6654424
SHEPHERD AV,-73.8808073,40.6741306
EUCLID AV,-73.8719033,40.6754013
GRANT AV,-73.86534619999999,40.6768777
80 ST,-73.9858115,40.7276819
88 ST,-73.851471,40.679844
ROCKAWAY BLVD,-73.80136929999999,40.6743114
OZONE PK LEFFRT,-73.82326239999999,40.6843909
AQUEDUCT N.COND,-73.8296269,40.672542
AQUEDUCT RACETR,-73.8296269,40.672542
BROAD CHANNEL,-73.8213213,40.6158335
BEACH 90 ST,-73.8140238,40.5878487
BEACH 98 ST,-73.8196707,40.5847199
BEACH 105 ST,-73.8256272,40.5821852
ROCKAWAY PARK B,-73.81662589999999,40.5860224
BEACH 67 ST,-73.7962659,40.5933365
BEACH 60 ST,-73.78928300000001,40.59244
BEACH 44 ST,-73.7757221,40.5956863
BEACH 36 ST,-73.7684623,40.5948453
BEACH 25 ST,-73.7618502,40.5994659
FAR ROCKAWAY,-73.74484369999999,40.5998931
161/YANKEE STAD,-73.92580099999999,40.8279249
167 ST,-73.9211957,40.8357232
170 ST,-73.91790689999999,40.84008439999999
174-175 STS,-73.9097269,40.846524
TREMONT AV,-73.905228,40.85041
182-183 STS,-73.90102949999999,40.8560934
FORDHAM RD,-73.8874273,40.8595729
KINGSBRIDGE RD,-73.89730279999999,40.8677601
BEDFORD PK BLVD,-73.8853702,40.87006179999999
NORWOOD 205 ST,-73.8775224,40.8741411
5 AV/53 ST,-73.97547039999999,40.760257
LEXINGTON AV/53,-73.9690742,40.7576981
COURT SQ-23 ST,-73.944548,40.7467885
QUEENS PLAZA,-73.9402762,40.7509846
STEINWAY ST,-73.91246749999999,40.7670158
46 ST,-73.9142159,40.75675349999999
NORTHERN BLVD,-73.70559469999999,40.7887673
65 ST,-73.89746869999999,40.7491462
JKSN HT-ROOSVLT,-73.8909986,40.746739
ELMHURST AV,-73.8819844,40.74244789999999
GRAND-NEWTOWN,-73.8783366,40.7370102
63 DR-REGO PARK,-73.8623673,40.7301359
67 AV,-73.8531493,40.7270427
FOREST HILLS 71,-73.844521,40.721691
75 AV,-73.83732599999999,40.71833
KEW GARDENS,-73.8272029,40.705695
BRIARWOOD,-73.81356099999999,40.7109315
SUTPHIN BLVD,-73.7971551,40.69040510000001
PARSONS BLVD,-73.8246832,40.772356
169 ST,-73.7930083,40.7107146
JAMAICA 179 ST,-73.7832876,40.7127866
COURT SQ,-73.944548,40.7467885
21 ST,-74.43914,44.2296981
GREENPOINT AV,-73.9540458,40.7301618
NASSAU AV,-73.9506401,40.7238304
BROADWAY,-95.98244299999999,36.1510606
MYRTLE-WILLOUGH,-73.9492203,40.69546709999999
BEDFORD-NOSTRAN,-73.9516398,40.6898534
CLASSON AV,-73.96006799999999,40.688873
47-50 STS ROCK,-73.98118610000002,40.75885
42 ST-BRYANT PK,-73.9841215,40.7548368
B'WAY-LAFAYETTE,-73.9956959,40.7250151
2 AV,-77.096569,38.988921
EAST BROADWAY,-73.9901951,40.7140636
YORK ST,-73.98660009999999,40.7013482
BERGEN ST,-73.9909074,40.6860832
CARROLL ST,-73.9954833,40.6793313
SMITH-9 ST,-73.99656759999999,40.6739193
4 AV-9 ST,-73.98929150000001,40.6701803
15 ST-PROSPECT,-73.9797224,40.6604292
DITMAS AV,-73.9679811,40.6366606
AVENUE I,-73.9760393,40.6253361
AVENUE N,-71.3544471,41.8401723
AVENUE P,-73.9604547,40.6101927
AVENUE X,-73.95606099999999,40.5921076
NEPTUNE AV,-73.9819541,40.5792604
57 ST,-73.9841435,40.767267
LEXINGTON AV/63,-73.966112999999993,40.764629
ROOSEVELT ISLND,-73.9509934,40.76050310000001
21 ST-QNSBRIDGE,-73.94247419999999,40.75417770000001
JAMAICA VAN WK,-73.8172514,40.70274089999999
SUTPHIN-ARCHER,-73.8077071,40.7005728
JAMAICA CENTER,-73.8008771,40.7021447
72 ST-2 AVE,-73.9584429,40.7686869
86 ST-2 AVE,-73.95178,40.7778826
96 ST-2 AVE,-73.9476586,40.783485400000004
NEWARK HW BMEBE,-77.0952516,43.0467301
HARRISON,-74.1562551,40.7464901
JOURNAL SQUARE,-74.0631544,40.7345715
GROVE STREET,-74.0426387,40.7196062
EXCHANGE PLACE,-74.0330907,40.7161048
PAVONIA/NEWPORT,-74.03612489999999,40.726699000000004
CITY / BUS,-95.9371924,36.8052649
CHRISTOPHER ST,-74.0046241,40.7333364
9TH STREET,-95.6184765,37.0349358
14TH STREET,-73.9825664,40.7313474
TWENTY THIRD ST,-86.8893879,33.50640600000001
THIRTY ST,-77.4082803,37.533218
LACKAWANNA,-75.5742467,41.4421199
THIRTY THIRD ST,-74.1179499,40.662283
NEWARK BM BW,-74.1723667,40.735657
NEWARK C,-122.0383968,37.5299765
NEWARK HM HE,-122.0013591,37.5260814
PATH WTC 2,-74.00989799999999,40.7126452
PATH NEW WTC,-74.00989799999999,40.7126452
SOUTH FERRY,-74.0129572,40.7017294
WTC-CORTLANDT,-74.0121198,40.7117347
WALL ST,-74.00883010000001,40.7060268
FRANKLIN ST,-82.52330119999999,27.955167200000002
HOUSTON ST,-73.985796,40.7221373
18 ST,-73.9978777,40.74106949999999
66 ST-LINCOLN,-73.9822288,40.7736972
